tag,status,best_pt,run_output_root,best_precision,best_precision_epoch,best_recall,best_recall_epoch,best_map50,best_map50_epoch,best_map50_95,best_map50_95_epoch
deg0_sc0p3_mo0_hsvs0p5,ok,models/grid_search_v11_aug/best_deg0_sc0p3_mo0_hsvs0p5.pt,outputs/yolo11_grid_search/runs/deg0_sc0p3_mo0_hsvs0p5,0.87326,132,0.68151,132,0.77068,132,0.51017,140
deg0_sc0p2_mo0p5_hsvs0p7,failed,models/grid_search_v11_aug/best_deg0_sc0p2_mo0p5_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg0_sc0p2_mo0p5_hsvs0p7,0.89284,160,0.68672,156,0.78001,156,0.48478,156
deg0_sc0p2_mo0_hsvs0p5,failed,,outputs/yolo11_grid_search/runs/deg0_sc0p2_mo0_hsvs0p5,0.87322,168,0.63678,128,0.73410,128,0.44854,128
deg0_sc0p2_mo0p5_hsvs0p3,failed,,outputs/yolo11_grid_search/runs/deg0_sc0p2_mo0p5_hsvs0p3,0.88982,152,0.55283,108,0.68715,144,0.42962,144
deg0_sc0p4_mo1_hsvs0p3,ok,models/grid_search_v11_aug/best_deg0_sc0p4_mo1_hsvs0p3.pt,outputs/yolo11_grid_search/runs/deg0_sc0p4_mo1_hsvs0p3,0.88623,156,0.60616,120,0.68075,156,0.39935,160
deg0_sc0p2_mo0_hsvs0p7,failed,,outputs/yolo11_grid_search/runs/deg0_sc0p2_mo0_hsvs0p7,0.91357,15,0.48963,15,0.46146,180,0.39624,15
deg5_sc0p3_mo1_hsvs0p3,ok,models/grid_search_v11_aug/best_deg5_sc0p3_mo1_hsvs0p3.pt,outputs/yolo11_grid_search/runs/deg5_sc0p3_mo1_hsvs0p3,0.87938,120,0.41303,124,0.63753,120,0.39480,120
deg5_sc0p2_mo0p5_hsvs0p7,ok,models/grid_search_v11_aug/best_deg5_sc0p2_mo0p5_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg5_sc0p2_mo0p5_hsvs0p7,0.86011,168,0.61807,152,0.70833,148,0.39468,148
deg5_sc0p2_mo1_hsvs0p3,ok,models/grid_search_v11_aug/best_deg5_sc0p2_mo1_hsvs0p3.pt,outputs/yolo11_grid_search/runs/deg5_sc0p2_mo1_hsvs0p3,0.87826,116,0.42639,75,0.64655,116,0.39461,112
deg5_sc0p4_mo0p5_hsvs0p7,ok,models/grid_search_v11_aug/best_deg5_sc0p4_mo0p5_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg5_sc0p4_mo0p5_hsvs0p7,0.87241,124,0.47693,160,0.64293,124,0.39446,124
